16,35,36,61,64,keyword,alls,binary,value
0,1,0,0,0,과시,1,1.0,1.0
0,0,0,1,0,면치,1,1.0,1.0
1,0,0,0,0,타박,1,1.0,1.0
0,0,0,0,1,앞뒤,1,1.0,1.0
0,1,0,0,0,풍문,1,1.0,1.0
1,0,0,0,0,전재희,1,1.0,1.0
0,0,0,0,1,누,1,1.0,1.0
0,0,0,1,0,박달,1,1.0,1.0
0,0,1,0,0,릴,1,1.0,1.0
1,0,0,0,0,놀란,1,1.0,1.0
1,0,0,0,0,이일,1,1.0,1.0
0,0,0,1,0,조국,1,1.0,1.0
0,1,0,0,0,조선소,1,1.0,1.0
1,0,0,0,0,전전긍긍,1,1.0,1.0
0,0,0,0,1,진위,1,1.0,1.0
0,1,0,0,0,벌크선,1,1.0,1.0
0,0,0,0,1,하물며,1,1.0,1.0
0,0,0,1,0,재벌,1,1.0,1.0
0,0,0,1,0,정독,1,1.0,1.0
1,0,0,0,0,가령,1,1.0,1.0
0,1,0,0,0,클락,1,1.0,1.0
1,0,0,0,0,희귀암,1,1.0,1.0
0,0,0,1,0,모조리,1,1.0,1.0
0,0,0,0,1,접합,1,1.0,1.0
0,0,0,1,0,자숙,1,1.0,1.0
0,0,0,0,1,숨,1,1.0,1.0
0,0,0,1,0,산남,1,1.0,1.0
0,1,0,0,0,폐허,1,1.0,1.0
0,0,0,0,1,일괄,1,1.0,1.0
0,0,0,0,1,국방의무,1,1.0,1.0
0,0,0,1,0,자멸,1,1.0,1.0
0,1,0,0,0,성덕고,1,1.0,1.0
0,0,0,1,0,기절,1,1.0,1.0
0,0,0,0,1,법률상,1,1.0,1.0
0,0,0,0,1,절대로,1,1.0,1.0
0,0,0,0,1,모이,1,1.0,1.0
0,1,0,0,0,지금껏,1,1.0,1.0
0,1,0,0,0,기간산업,1,1.0,1.0
0,0,0,1,0,군부,1,1.0,1.0
1,0,0,0,0,전라도,1,1.0,1.0
0,1,0,0,0,야생,1,1.0,1.0
0,0,0,1,0,거북목,1,1.0,1.0
0,1,0,0,0,견적,1,1.0,1.0
0,0,0,1,0,의원직,1,1.0,1.0
0,0,0,1,0,석수,1,1.0,1.0
0,0,0,0,1,폐쇄회,1,1.0,1.0
0,0,0,0,1,전술,1,1.0,1.0
